Treatment,Sample,Number,Zone,Morphospecies,PlantSpecies ,ContactWeight,preWeight,postWeight,leaveDryMass,H2O_weight,NumberLeaves,TotalLeafArea,pixelDens,MeanLaminaArea
Pine,PineL1,1,Treeline,FuzzyLeaf,Erigeron sp,,,,,,,,,
Pine,PineL1,1,Treeline,GreenGuy,,,,,,,,,,
Pine,PineL1,1,Treeline,GreenGuy,,,,,,,,,,
Pine,PineL1,1,Treeline,GreenShrub,Gaultheria pumila,,,,,,,,,
Pine,PineL1,1,Treeline,OtherGreenShrub,,,,,,,,,,
Pine,PineL1,1,Treeline,SpikeyCushion,Mulinum echinus,,,,,,,,,
Pine,PineL1,1,Treeline,TallSpike,,,,,,,,,,
Pine,PineL1,1,Treeline,WeirdClover,,,,,,,,,,
Pine,PineL1,1,Treeline,Grass,Festuca sp,,,,,,,,,
Pine,PineL1,1,Treeline,RedAloe,Poa sp,,,,,,,,,
Pine,Pine001,1,Plateau,GreenShrub,Gaultheria pumila,,0.18,0.08,0.08,0.1,21,726979,378.12,0.242127029
Pine,Pine001,1,Plateau,Grass,Festuca sp,,0.29,0.12,0.12,0.17,10,12576435,236.08,22.56519846
Pine,Pine001,1,Plateau,Rosette,Viola sp,,0.09,0.01,0.01,0.08,10,96284,304.11,0.104110066
Pine,Pine001,1,Plateau,Clover,Oxalis adenophylla,,0.16,0.01,0.01,0.15,15,341364,306.1,0.2428845
Pine,Pine001,1,Plateau,LeafyCushion,Azorella sp,,0.17,0.07,0.07,0.1,20,430398,316,0.215509333
Pine,Pine001,1,Plateau,SpikeyGreen,Perezia piliffera /fonkii?,,0.22,0.11,0.11,0.11,16,456079,288,0.343664852
Pine,Pine002,2,Plateau,GreenShrub,Gaultheria pumila,,0.12,0.04,0.04,0.08,20,368627,352.82,0.148064435
Pine,Pine002,2,Plateau,Grass,Festuca sp,,0.27,0.18,0.18,0.09,10,213978,234.14,0.390317385
Pine,Pine002,2,Plateau,Rosette,Viola sp,,0.09,0.02,0.02,0.07,10,122418,308,0.129045792
Pine,Pine002,2,Plateau,YellowFlower,Senecio agyreus,,0.68,0.18,0.18,0.5,19,1932630,334.44,0.909407824
Pine,Pine002,2,Plateau,Clover,Oxalis adenophylla,,0.15,0.02,0.02,0.13,10,666742,398.21,0.420468523
Pine,Pine002,2,Plateau,Arugula,Hypochaeris sp,,0.42,0.17,0.17,0.25,10,987707,368,0.729344134
Pine,Pine002,2,Plateau,RedAloe,Poa sp,,0.54,0.31,0.31,0.23,7,818097,187.6,3.320787549
Pine,Pine002,2,Plateau,Dandelion,Hypochaeris sp,,0.33,0.07,0.07,0.26,3,1750174,292,6.842176456
Pine,Pine003,3,Plateau,GreenShrub,Gaultheria pumila,,0.08,0.03,0.03,0.05,21,143033,296,0.07773803
Pine,Pine003,3,Plateau,Grass,Festuca sp,,0.15,0.33,0.33,,10,798222,220,1.649219008
Pine,Pine003,3,Plateau,Grass,Festuca sp,,0.27,0.18,0.18,0.09,3,2704509,224.04,17.9604018
Pine,Pine004,4,Plateau,RedAloe,Poa sp,,3.45,,0.41,,7,2897217,227,8.032140015
Pine,Pine004,4,Plateau,GreenShrub,Gaultheria pumila,,0.33,0.28,0.03,0.05,34,226214,376,0.047061403
Pine,Pine004,4,Plateau,Grass,Festuca sp,,1.71,1.64,0.19,0.07,11,497597,243,0.766077172
Pine,Pine004,4,Plateau,RedAloe,Poa sp,,,,,,7,2644374,218,7.94898818
Pine,Pine004,4,Plateau,Cushion,Bolax gummifera,,0.66,0.63,0.01,0.03,12,110516,250,0.147354667
Pine,Pine005,5,Plateau,RedAloe,Poa sp,,1.57,1.4,0.13,0.17,5,1602650,281,4.059345753
Pine,Pine005,5,Plateau,GreenShrub,Gaultheria pumila,,0.78,0.66,0.05,0.12,24,520624,311,0.224280835
Pine,Pine005,5,Plateau,GreenShrub,Gaultheria pumila,,,,,,,,,
Pine,Pine005,5,Plateau,Grass,Festuca sp,,2.12,2.11,0.13,0.01,10,798541,237,1.421675657
Pine,Pine005,5,Plateau,spikeyGreen,,,0.44,0.44,0.03,0,,,,
Pine,Pine005,5,Plateau,TallGreen,,,,,,,9,141706,279,0.202272724
Pine,Pine005,5,Plateau,Rosette,Viola sp,,,,,,,,,
Pine,Pine005,5,Plateau,Grass,Festuca sp,,2.12,1.92,0.27,0.2,5,589163,256,1.797982788
Pine,Pine006,6,Plateau,RedAloe,Poa sp,,2.09,1.77,0.22,0.32,6,1676532,248,4.543151665
Pine,Pine006,6,Plateau,Clover,Oxalis adenophylla,,,,,,,,,
Pine,Pine006,6,Plateau,GreenShrub,Gaultheria pumila,,,,,,,,,
Pine,Pine006,6,Plateau,GreenShrub,Gaultheria pumila,,0.77,0.73,0.05,0.04,15,313360,347,0.173497551
Pine,Pine006,6,Plateau,Rosette,Viola sp,,,,,,,,,
Pine,Pine006,6,Plateau,YellowFlower,Senecio agyreus,,0.84,0.81,0.04,0.03,10,164337,231,0.307972114
Pine,Pine006,6,Plateau,Grass,Festuca sp,,2.45,2.13,0.36,0.32,6,1397357,241,4.009793794
Pine,Pine006,6,Plateau,Arugula,Hypochaeris sp,,2.32,2.14,0.12,0.18,7,1171118,231,3.135296779
Pine,Pine007,7,Plateau,RedAloe,Poa sp,,1.07,0.95,0.19,0.12,4,978341,281,3.097544991
