Treatment,Sample,Number,Zone,Morphospecies,PlantSpecies ,ContactWeight,preWeight,postWeight,leaveDryMass,H2O_weight,NumberLeaves,TotalLeafArea,pixelDens,MeanLaminaArea
Sapling,Sap015,15,Plateau,LeafyCushion,Azorella sp,,1.31,1.01,0.12,0.3,32,126279,118,0.283411286
Sapling,Sap015,15,Plateau,Mistery2,,,1.06,1,0.03,0.06,NA,198130,118,NA
Sapling,Sap015,15,Plateau,newGreen,,,,,,,NA,56149,118,NA
Sapling,Sap015,15,Plateau,OtherGreenShrub,Baccharis magellanica,,0.78,0.62,0.09,0.16,22,76141,118,0.248560367
Sapling,Sap015,15,Plateau,SpikeyCushion,Mulinum echinus,,,,,,,,,
Sapling,Sap015,15,Plateau,RedAloe,Poa sp,0.96,1.71,1.27,0.31,0.44,5,281885,118,4.04890836
Sapling,Sap015,15,Plateau,Rosette,Viola sp,,1.1,0.92,0.08,0.18,21,77786,118,0.266022353
Sapling,Sap015,15,Plateau,SpikeyGreen,Perezia piliffera /fonkii?,,1.06,0.89,0.07,0.17,12,78232,118,0.468208369
Sapling,Sap015,15,Plateau,OtherSpikeyCushion,,,1.22,1.16,0.03,0.06,33,185046,118,0.402718655
Sapling,Sap015,15,Plateau,YellowFlower,Senecio agyreus,,2.2,1.5,0.22,0.7,,,,
Sapling,Sap016,16,Plateau,FatTall,,,1.48,1.06,0.13,0.42,11,134521,118,0.878280797
Sapling,Sap016,16,Plateau,GreenShrub,Gaultheria pumila,,1.16,0.87,0.08,0.29,39,84603,118,0.155796301
Sapling,Sap016,16,Plateau,LeafyCushion,Azorella sp,,1.66,1.18,0.19,0.48,38,171143,118,0.323453258
Sapling,Sap016,16,Plateau,Rosette,Viola sp,,1.4,1.14,0.09,0.26,28,60466,118,0.155091928
Sapling,Sap016,16,Plateau,SpikeyGreen,Perezia piliffera /fonkii?,,0.82,0.76,0.05,0.06,7,14529,118,0.149064308
Sapling,Sap016,16,Plateau,YellowFlower,Senecio agyreus,,2.55,1.55,0.31,1,24,388566,118,1.162758546
Sapling,Sap016,16,Plateau,Grass,Festuca sp,1.06,1.52,1.27,0.21,0.25,4,120476,118,2.163099684
Sapling,Sap016,16,Plateau,RedAloe,Poa sp,1.01,1.24,1.16,0.15,0.08,5,117259,118,1.684271761
Sapling,Sap017,17,Plateau,fatGreen,Perezia bellidifolia,,1.36,1.01,0.14,0.35,3,203005,118,4.859834339
Sapling,Sap017,17,Plateau,Clover,Oxalis adenophylla,,2.25,1.92,0.05,0.33,34,272903,118,0.576454957
Sapling,Sap017,17,Plateau,GreenShrub,Gaultheria pumila,,1.22,1.13,0.14,0.09,54,96521,118,0.128370147
Sapling,Sap017,17,Plateau,OtherGreenShrub,Baccharis magellanica,,1.11,1.04,0.08,0.07,26,92050,118,0.254264911
Sapling,Sap017,17,Plateau,YellowFlower,Senecio agyreus,,1.8,1.38,0.25,0.42,24,274395,118,0.821109236
Sapling,Sap017,17,Plateau,Grass,Festuca sp,1.09,1.51,1.25,0.16,0.26,6,189431,118,2.267439912
Sapling,Sap017,17,Plateau,Curly,Tristagma nivale,,,,,,,,,
Sapling,Sap017,17,Plateau,RedAloe,Poa sp,0.98,1.26,1.13,0.15,0.13,6,125893,118,1.50690654
Sapling,Sap018,18,Plateau,Arugula,Hypochaeris sp,,1.43,1.03,0.12,0.4,7,228974,118,2.349222309
Sapling,Sap018,18,Plateau,Clover,Oxalis adenophylla,,0.43,0.4,0.01,0.03,,,,
Sapling,Sap018,18,Plateau,GreenShrub,Gaultheria pumila,,1.2,1.1,0.1,0.1,48,88917,118,0.133039177
Sapling,Sap018,18,Plateau,MiniAloe,,,2.49,2.15,0.14,0.34,27,101772,118,0.270707651
Sapling,Sap018,18,Plateau,Rosette,Viola sp,,0.96,0.77,0.07,0.19,19,67260,118,0.254237288
Sapling,Sap018,18,Plateau,SpikeyRose,Nassauvia revoluta,,0.99,0.91,0.05,0.08,24,38195,118,0.11429606
Sapling,Sap018,18,Plateau,TallRed,Euphrasia meiantha,,1.25,1.03,0.1,0.22,37,97940,118,0.19010536
Sapling,Sap018,18,Plateau,WhiteFlower,,,0.73,0.71,0.01,0.02,NA,167441,118,NA
Sapling,Sap018,18,Plateau,RedAloe,Poa sp,1,1.22,1.13,0.13,0.09,4,153167,118,2.750053864
Sapling,Sap019,19,Plateau,GreenShrub,Gaultheria pumila,,1.19,1.09,0.08,0.1,53,88853,118,0.120401587
Sapling,Sap019,19,Plateau,Rosette,Viola sp,,0.99,0.82,0.07,0.17,16,67863,118,0.304613437
Sapling,Sap019,19,Plateau,SmallShrub,Empetrum rubrum,,0.62,0.57,0.04,0.05,45,37245,118,0.059441731
Sapling,Sap019,19,Plateau,YellowFlower,Senecio agyreus,,1.72,1.28,0.16,0.44,30,184248,118,0.441080149
Sapling,Sap019,19,Plateau,Grass,Festuca sp,1,1.26,1.13,0.13,0.13,5,53380,118,0.766733697
Sapling,Sap019,19,Plateau,fatGreen,,,1.79,1.23,0.19,0.56,,,,
Sapling,Sap019,19,Plateau,Grass,Festuca sp,0.97,1.48,1.21,0.24,0.27,6,148156,118,1.773388873
Sapling,Sap020,20,Plateau,GreenShrub,Gaultheria pumila,,1.19,1.04,0.09,0.15,48,94439,118,0.14130129
Sapling,Sap020,20,Plateau,LeafyCushion,Azorella sp,,1.45,1.1,0.19,0.35,29,189032,118,0.468137376
Sapling,Sap020,20,Plateau,SpikeyGreen,Perezia piliffera /fonkii?,,1.1,0.95,0.08,0.15,8,43789,118,0.393107225
Sapling,Sap020,20,Plateau,TallRed,Euphrasia meiantha,,1.09,0.91,0.07,0.18,40,84261,118,0.151287346
Sapling,Sap020,20,Plateau,TallSpike,,,1.15,1.04,0.06,0.11,41,51487,118,0.090188199
Sapling,Sap020,20,Plateau,RedAloe,Poa sp,1.04,1.35,1.14,0.1,0.21,4,108017,118,1.939403189
Sapling,Sap020,20,Plateau,Cushion,,,,,,,28,13381,118,0.034321521
Sapling,Sap020,20,Plateau,Grass,Festuca sp,0.91,1.33,1.07,0.16,0.26,6,124276,118,1.48755147
Sapling,Sap008,8,Plateau,Rosette,Viola sp,,,,,,14,227294,259,0.2420251
Sapling,Sap008,8,Plateau,SpikeyGreen,Perezia piliffera /fonkii?,,1.15,1.03,0.09,0.12,8,577344,236,1.295748348
Sapling,Sap008,8,Plateau,Grass,Festuca sp,,2.42,2.26,0.22,0.16,5,643724,237,2.292097064
Sapling,Sap008,8,Plateau,SmallShrub,Empetrum rubrum,,0.62,0.6,0.01,0.02,41,236716,321,0.056031686
Sapling,Sap008,8,Plateau,GreenShrub,Gaultheria pumila,,1.44,1.34,0.1,0.1,26,289467,241,0.191686544
Unknown,XXX,,Unknown,Rosette,Viola sp,,,,,,,,,
Unknown,XXX,,Unknown,TallRed,,,,,,,,,,
Unknown,XXX,,Unknown,Grass,Festuca sp,,,,,,,,,
Unknown,XXX,,Unknown,Grass,Festuca sp,,,,,,,,,
Sapling,Sap003,20,Plateau,LeafyCushion,Azorella sp,,,,,,,,,
,Con002,,,Grass,Festuca sp,,,,,,,,,
