"siteCode","Area","Morphospecies","LeafNumber","RawTotalLeafArea","Treatment","pixelDens","uniqueID","leaveDryMass","H2O_weight","LWC","LDMC","MLA","SLA"
"Con013","Plateau","RedAloe",6,160443,"Control",118,"Con013_RedAloe",0.26,0.37,0.061666667,0.043333333,192.0461074,0.738638875
"Con013","Plateau","SmallShrub",64,39647,"Control",118,"Con013_SmallShrub",NA,0.04,0.000625,NA,4.449040326,NA
"Con013","Plateau","SpikeyGreen",12,93180,"Control",118,"Con013_SpikeyGreen",0.15,0.18,0.015,0.0125,55.76702097,0.37178014
"Con013","Plateau","SpikeyRose",7,17819,"Control",118,"Con013_SpikeyRose",NA,NA,NA,NA,18.28189765,NA
"Con013","Plateau","TallRed",20,8001,"Control",118,"Con013_TallRed",0.01,0.01,5e-04,5e-04,2.873096811,0.287309681
"Con014","Plateau","Grass",5,99134,"Control",118,"Con014_Grass",0.2,0.17,0.034,0.04,142.3929905,0.711964953
"Con014","Plateau","GreenShrub",36,109937,"Control",118,"Con014_GreenShrub",0.1,0.19,0.005277778,0.002777778,21.93195602,0.21931956
"Con014","Plateau","OtherGreenShrub",30,85648,"Control",118,"Con014_OtherGreenShrub",0.03,0.07,0.002333333,0.001,20.50368668,0.683456223
"Con014","Plateau","OtherGreenShrub",18,63597,"Control",118,"Con014_OtherGreenShrub",0.03,0.07,0.003888889,0.001666667,25.37465288,0.845821763
"Con014","Plateau","Rosette",25,112355,"Control",118,"Con014_Rosette",0.07,0.26,0.0104,0.0028,32.27664464,0.461094923
"Con014","Plateau","YellowFlower",32,193553,"Control",118,"Con014_YellowFlower",0.2,0.39,0.0121875,0.00625,43.43960967,0.217198048
"Con015","Plateau","Dandelion",4,139866,"Control",118,"Con015_Dandelion",0.06,0.26,0.065,0.015,251.1239586,4.185399311
"Con015","Plateau","Grass",6,73021,"Control",118,"Con015_Grass",0.14,0.12,0.02,0.023333333,87.40424208,0.624316015
"Con015","Plateau","LeafyCushion",30,135847,"Control",118,"Con015_LeafyCushion",0.13,0.26,0.008666667,0.004333333,32.52106674,0.250162052
"Con015","Plateau","OtherGreenShrub",54,176308,"Control",118,"Con015_OtherGreenShrub",0.17,0.29,0.00537037,0.003148148,23.44845564,0.137932092
"Con015","Plateau","RedAloe",4,61924,"Control",118,"Con015_RedAloe",0.14,0.12,0.03,0.035,111.1821316,0.794158083
"Con015","Plateau","Rosette",39,110913,"Control",118,"Con015_Rosette",0.11,0.34,0.008717949,0.002820513,20.42461273,0.185678298
"Con015","Plateau","SpikeyGreen",9,24612,"Control",118,"Con015_SpikeyGreen",0.08,0.16,0.017777778,0.008888889,19.63995021,0.245499378
"Con015","Plateau","SpikeyRose",17,21881,"Control",118,"Con015_SpikeyRose",0.05,0.03,0.001764706,0.002941176,9.243878534,0.184877571
"Pine001","Plateau","Clover",15,341364,"Pine",306.1,"Pine001_Clover",0.01,0.15,0.01,0.000666667,24.28845,2.428845
"Pine001","Plateau","Grass",10,213978,"Pine",234.14,"Pine001_Grass",0.12,0.17,0.017,0.012,39.03173854,0.325264488
"Pine001","Plateau","GreenShrub",21,726979,"Pine",378.12,"Pine001_GreenShrub",0.08,0.1,0.004761905,0.003809524,24.21270287,0.302658786
"Pine001","Plateau","LeafyCushion",20,430398,"Pine",316,"Pine001_LeafyCushion",0.07,0.1,0.005,0.0035,21.55093334,0.307870476
"Pine001","Plateau","Rosette",10,96284,"Pine",304.11,"Pine001_Rosette",0.01,0.08,0.008,0.001,10.4110066,1.04110066
"Pine001","Plateau","SpikeyGreen",16,456079,"Pine",288,"Pine001_SpikeyGreen",0.11,0.11,0.006875,0.006875,34.36648522,0.312422593
"Pine002","Plateau","Arugula",10,987707,"Pine",368,"Pine002_Arugula",0.17,0.25,0.025,0.017,72.9344134,0.429025961
"Pine002","Plateau","Clover",10,666742,"Pine",398.21,"Pine002_Clover",0.02,0.13,0.013,0.002,42.04685231,2.102342616
"Pine002","Plateau","Dandelion",3,1750174,"Pine",292,"Pine002_Dandelion",0.07,0.26,0.086666667,0.023333333,684.2176456,9.774537794
"Pine002","Plateau","GreenShrub",20,368627,"Pine",352.82,"Pine002_GreenShrub",0.04,0.08,0.004,0.002,14.80644354,0.370161089
"Pine002","Plateau","RedAloe",7,818097,"Pine",187.6,"Pine002_RedAloe",0.31,0.23,0.032857143,0.044285714,332.0787549,1.07122179
"Pine002","Plateau","Rosette",10,122418,"Pine",308,"Pine002_Rosette",0.02,0.07,0.007,0.002,12.90457919,0.645228959
"Pine002","Plateau","YellowFlower",19,1932630,"Pine",334.44,"Pine002_YellowFlower",0.18,0.5,0.026315789,0.009473684,90.9407824,0.505226569
"Pine003","Plateau","GreenShrub",21,143033,"Pine",296,"Pine003_GreenShrub",0.03,0.05,0.002380952,0.001428571,7.773803002,0.259126767
"Pine004","Plateau","Cushion",12,110516,"Pine",250,"Pine004_Cushion",0.01,0.03,0.0025,0.000833333,14.73546667,1.473546667
"Pine004","Plateau","Grass",11,497597,"Pine",243,"Pine004_Grass",0.19,0.07,0.006363636,0.017272727,76.60771717,0.403198511
"Pine004","Plateau","GreenShrub",34,226214,"Pine",376,"Pine004_GreenShrub",0.03,0.05,0.001470588,0.000882353,4.706140322,0.156871344
"Pine004","Plateau","RedAloe",7,2897217,"Pine",227,"Pine004_RedAloe",0.41,NA,NA,0.058571429,803.2140015,1.95905854
"Pine004","Plateau","RedAloe",7,2644374,"Pine",218,"Pine004_RedAloe",0.41,NA,NA,0.058571429,794.898818,1.938777605
"Pine005","Plateau","Grass",10,798541,"Pine",237,"Pine005_Grass",0.13,0.01,0.001,0.013,142.1675657,1.09359666
"Pine005","Plateau","Grass",5,589163,"Pine",256,"Pine005_Grass",0.13,0.01,0.002,0.026,179.7982788,1.383063683
"Pine005","Plateau","GreenShrub",24,520624,"Pine",311,"Pine005_GreenShrub",0.05,0.12,0.005,0.002083333,22.42808353,0.448561671
"Pine005","Plateau","RedAloe",5,1602650,"Pine",281,"Pine005_RedAloe",0.13,0.17,0.034,0.026,405.9345753,3.122573656
"Pine005","Plateau","TallGreen",9,141706,"Pine",279,"Pine005_TallGreen",NA,NA,NA,NA,20.2272724,NA
"Pine006","Plateau","Arugula",7,1171118,"Pine",231,"Pine006_Arugula",0.12,0.18,0.025714286,0.017142857,313.5296779,2.612747316
"Pine006","Plateau","Grass",6,1397357,"Pine",241,"Pine006_Grass",0.36,0.32,0.053333333,0.06,400.9793794,1.113831609
"Pine006","Plateau","GreenShrub",15,313360,"Pine",347,"Pine006_GreenShrub",NA,NA,NA,NA,17.34975514,NA
"Pine006","Plateau","RedAloe",6,1676532,"Pine",248,"Pine006_RedAloe",0.22,0.32,0.053333333,0.036666667,454.3151665,2.065068939
"Pine007","Plateau","FatGreen",5,2219921,"Pine",303,"Pine007_FatGreen",0.27,0.43,0.086,0.054,483.5955081,1.791094474
"Pine007","Plateau","Grass",9,696299,"Pine",239,"Pine007_Grass",0.23,0.23,0.025555556,0.025555556,135.4432793,0.588883823
"Pine007","Plateau","GreenShrub",24,261284,"Pine",310,"Pine007_GreenShrub",0.15,0.22,0.009166667,0.00625,11.32865071,0.075524338
"Pine007","Plateau","RedAloe",4,978341,"Pine",281,"Pine007_RedAloe",0.19,0.12,0.03,0.0475,309.7544991,1.630286837
"Pine008","Plateau","FatGreen",5,877923,"Pine",220,"Pine008_FatGreen",1.54,0.44,0.088,0.308,362.7780992,0.235570194
"Pine008","Plateau","FuzzyLeaf",5,148587,"Pine",247,"Pine008_FuzzyLeaf",0.01,0.04,0.008,0.002,48.70986248,4.870986248
"Pine008","Plateau","Grass",8,562780,"Pine",217,"Pine008_Grass",0.16,0.17,0.02125,0.02,149.3926395,0.933703997
"Pine008","Plateau","GreenShrub",28,544080,"Pine",298,"Pine008_GreenShrub",0.08,0.12,0.004285714,0.002857143,21.88125374,0.273515672
"Pine008","Plateau","RedAloe",5,1210557,"Pine",231,"Pine008_RedAloe",0.07,0.12,0.024,0.014,453.7235059,6.48176437
"Pine008","Plateau","Rosette",14,222212,"Pine",252,"Pine008_Rosette",0.04,0.1,0.007142857,0.002857143,24.9941511,0.624853777
"Pine008","Plateau","Rosette",14,272532,"Pine",271,"Pine008_Rosette",0.04,0.1,0.007142857,0.002857143,26.50640845,0.662660211
"Pine008","Plateau","SmallShrub",42,216636,"Pine",262,"Pine008_SmallShrub",0.03,NA,NA,0.000714286,7.514130878,0.250471029
"Pine008","Plateau","SpikeyGreen",13,536229,"Pine",241,"Pine008_SpikeyGreen",0.03,0.09,0.006923077,0.002307692,71.01872319,2.367290773
"Pine008","Plateau","YellowFlower",15,341461,"Pine",256,"Pine008_YellowFlower",0.11,0.11,0.007333333,0.007333333,34.73520915,0.315774629
"Pine009","Plateau","FuzzyLeaf",11,75378,"Pine",118,"Pine009_FuzzyLeaf",0.01,0.06,0.005454545,0.000909091,49.2139145,4.92139145
"Pine009","Plateau","Grass",4,101730,"Pine",118,"Pine009_Grass",0.15,0.15,0.0375,0.0375,182.6522551,1.217681701
"Pine009","Plateau","GreenShrub",39,115240,"Pine",118,"Pine009_GreenShrub",0.18,0.17,0.004358974,0.004615385,21.22142915,0.117896829
"Pine009","Plateau","RedAloe",4,280662,"Pine",118,"Pine009_RedAloe",0.25,0.3,0.075,0.0625,503.9176961,2.015670784
"Pine009","Plateau","SmallShrub",63,47136,"Pine",118,"Pine009_SmallShrub",0.01,0.06,0.000952381,0.00015873,5.373387505,0.53733875
"Pine009","Plateau","SpikeyGreen",10,80927,"Pine",118,"Pine009_SpikeyGreen",0.08,0.11,0.011,0.008,58.12051135,0.726506392
"Pine010","Plateau","Grass",3,125389,"Pine",118,"Pine010_Grass",0.14,0.21,0.07,0.046666667,300.1747582,2.144105416
"Pine010","Plateau","GreenShrub",65,136785,"Pine",118,"Pine010_GreenShrub",0.11,0.17,0.002615385,0.001692308,15.11336265,0.137394206
"Pine010","Plateau","RedAloe",3,189149,"Pine",118,"Pine010_RedAloe",0.07,0.18,0.06,0.023333333,452.812889,6.468755557
"Pine010","Plateau","SmallShrub",59,41190,"Pine",118,"Pine010_SmallShrub",0.06,0.06,0.001016949,0.001016949,5.013901129,0.083565019
"Pine010","Plateau","TallRed",25,110471,"Pine",118,"Pine010_TallRed",0.04,0.25,0.01,0.0016,31.73542086,0.793385521
"Pine011","Plateau","Grass",5,247772,"Pine",118,"Pine011_Grass",0.2,0.28,0.056,0.04,355.8919851,1.779459925
"Pine011","Plateau","GreenShrub",51,115455,"Pine",118,"Pine011_GreenShrub",0.15,0.22,0.004313725,0.002941176,16.25842811,0.108389521
"Pine011","Plateau","LeafyCushion",27,141800,"Pine",118,"Pine011_LeafyCushion",0.13,0.37,0.013703704,0.004814815,37.71798227,0.290138325
"Pine011","Plateau","LeafyCushion",21,147431,"Pine",118,"Pine011_LeafyCushion",0.13,0.37,0.017619048,0.006190476,50.42030889,0.38784853
"Pine011","Plateau","RedAloe",4,175464,"Pine",118,"Pine011_RedAloe",0.12,0.28,0.07,0.03,315.038782,2.625323183
"Pine011","Plateau","Rosette",12,30449,"Pine",118,"Pine011_Rosette",0.05,0.1,0.008333333,0.004166667,18.22333142,0.364466628
"Pine012","Plateau","Cilantro",5,166013,"Pine",118,"Pine012_Cilantro",0.05,0.13,0.026,0.01,238.4559035,4.76911807
"Pine012","Plateau","FatGreen",5,261853,"Pine",118,"Pine012_FatGreen",0.14,0.51,0.102,0.028,376.117495,2.686553536
"Pine012","Plateau","Grass",5,146554,"Pine",118,"Pine012_Grass",0.2,0.15,0.03,0.04,210.5056018,1.052528009
"Pine012","Plateau","GreenShrub",50,134407,"Pine",118,"Pine012_GreenShrub",0.1,0.13,0.0026,0.002,19.30580293,0.193058029
"Pine012","Plateau","SmallShrub",65,56266,"Pine",118,"Pine012_SmallShrub",0.01,0.11,0.001692308,0.000153846,6.216825404,0.62168254
"Pine012","Plateau","SpikeyGreen",11,96264,"Pine",118,"Pine012_SpikeyGreen",NA,NA,NA,NA,62.85027813,NA
"Pine012","Plateau","TallSpike",24,11471,"Pine",118,"Pine012_TallSpike",0.01,0.01,0.000416667,0.000416667,3.432622331,0.343262233
"Pine012","Plateau","YellowFlower",23,161484,"Pine",118,"Pine012_YellowFlower",0.14,0.2,0.008695652,0.006086957,50.42404107,0.360171722
"Pine013","Plateau","Dandelion",6,171254,"Pine",118,"Pine013_Dandelion",NA,NA,NA,NA,204.9865939,NA
"Pine013","Plateau","FuzzyLeaf",7,43291,"Pine",118,"Pine013_FuzzyLeaf",0.02,0.07,0.01,0.002857143,44.41560307,2.220780153
"Pine013","Plateau","Grass",5,401851,"Pine",118,"Pine013_Grass",0.14,0.27,0.054,0.028,577.2062626,4.122901875
"Pine013","Plateau","GreenShrub",50,118761,"Pine",118,"Pine013_GreenShrub",0.1,0.13,0.0026,0.002,17.05846021,0.170584602
"Pine013","Plateau","GreenShrub",64,102811,"Pine",118,"Pine013_GreenShrub",0.1,0.13,0.00203125,0.0015625,11.53707178,0.115370718
"Pine013","Plateau","OtherGreenShrub",34,109964,"Pine",118,"Pine013_OtherGreenShrub",0.07,0.21,0.006176471,0.002058824,23.2277743,0.331825347
"Pine014","Plateau","Arugula",4,167771,"Pine",118,"Pine014_Arugula",0.12,0.44,0.11,0.03,301.2262999,2.510219166
"Pine014","Plateau","Dandelion",4,76346,"Pine",118,"Pine014_Dandelion",0.04,0.03,0.0075,0.01,137.0762712,3.42690678
"Pine014","Plateau","Grass",6,79588,"Pine",118,"Pine014_Grass",0.13,0.16,0.026666667,0.021666667,95.26477066,0.732805928
"Pine014","Plateau","GreenShrub",51,94460,"Pine",118,"Pine014_GreenShrub",0.11,0.18,0.003529412,0.002156863,13.3019022,0.120926384
"Pine014","Plateau","LeafyCushion",25,180077,"Pine",118,"Pine014_LeafyCushion",0.12,0.36,0.0144,0.0048,51.73139902,0.431094992
"Pine014","Plateau","OtherGreenShrub",33,117527,"Pine",118,"Pine014_OtherGreenShrub",0.1,0.24,0.007272727,0.003030303,25.57759439,0.255775944
"Pine014","Plateau","RedAloe",4,171214,"Pine",118,"Pine014_RedAloe",0.15,-0.21,-0.0525,0.0375,307.4080724,2.049387149
"Pine014","Plateau","Rosette",30,100123,"Pine",118,"Pine014_Rosette",0.08,0.29,0.009666667,0.002666667,23.96892655,0.299611582
"Pine014","Plateau","SpikeyRose",31,124,"Pine",118,"Pine014_SpikeyRose",0.04,0.14,0.004516129,0.001290323,0.028727377,0.000718184
"Pine015","Plateau","Dandelion",5,268152,"Pine",118,"Pine015_Dandelion",0.06,0.45,0.09,0.012,385.1651824,6.419419707
"Pine015","Plateau","FatTall",8,186323,"Pine",118,"Pine015_FatTall",NA,NA,NA,NA,167.2678469,NA
"Pine015","Plateau","Grass",7,167918,"Pine",118,"Pine015_Grass",0.15,0.23,0.032857143,0.021428571,172.280133,1.14853422
"Pine015","Plateau","RedAloe",3,178030,"Pine",118,"Pine015_RedAloe",0.12,0.09,0.03,0.04,426.1945801,3.551621501
"Pine015","Plateau","TallRed",24,85689,"Pine",118,"Pine015_TallRed",0.05,0.23,0.009583333,0.002083333,25.64187733,0.512837547
"Pine015","Plateau","YellowFlower",25,287579,"Pine",118,"Pine015_YellowFlower",0.23,0.87,0.0348,0.0092,82.61390405,0.359190887
"Sap001","Plateau","Clover",10,302928,"Sapling",376.34,"Sap001_Clover",0.01,0.08,0.008,0.001,21.38841767,2.138841767
"Sap001","Plateau","LeafyCushion",20,679444,"Sapling",348.02,"Sap001_LeafyCushion",0.08,0.22,0.011,0.004,28.04886336,0.350610792
"Sap001","Plateau","newGreen",20,178718,"Sapling",290.21,"Sap001_newGreen",0.01,0.04,0.002,5e-04,10.60995529,1.060995529
"Sap001","Plateau","Rosette",10,130967,"Sapling",327,"Sap001_Rosette",0.01,0.03,0.003,0.001,12.24803374,1.224803374
"Sap001","Plateau","SpikeyCushion",20,278857,"Sapling",309,"Sap001_SpikeyCushion",0.06,0.07,0.0035,0.003,14.60274819,0.243379137
"Sap001","Plateau","SpikeyGreen",15,337302,"Sapling",306.08,"Sap001_SpikeyGreen",0.09,0.11,0.007333333,0.006,24.00257038,0.266695226
"Sap002","Plateau","Arugula",5,1605089,"Sapling",282,"Sap002_Arugula",0.054,0.088,0.0176,0.0108,403.674111,7.475446499
"Sap002","Plateau","Clover",10,241195,"Sapling",404,"Sap002_Clover",0.01,0.05,0.005,0.001,14.7776566,1.47776566
"Sap002","Plateau","Dandelion",6,1326562,"Sapling",247,"Sap002_Dandelion",0.0225,0.0675,0.01125,0.00375,362.3951657,16.10645181
"Sap002","Plateau","GreenShrub",20,525917,"Sapling",400,"Sap002_GreenShrub",0.05,0.08,0.004,0.0025,16.43490625,0.328698125
"Sap002","Plateau","LeafyCushion",20,527756,"Sapling",340,"Sap002_LeafyCushion",0.07,0.17,0.0085,0.0035,22.82681661,0.32609738
"Sap002","Plateau","RedAloe",10,1552732,"Sapling",240.35,"Sap002_RedAloe",0.28,0.02,0.002,0.028,268.7869941,0.95995355
"Sap002","Plateau","Rosette",10,204625,"Sapling",284.03,"Sap002_Rosette",0.03,0.11,0.011,0.003,25.36473123,0.845491041
"Sap002","Plateau","Rosette",10,224953,"Sapling",284,"Sap002_Rosette",0.03,0.11,0.011,0.003,27.89042353,0.929680784
"Sap002","Plateau","SpikeyCushion",20,74183,"Sapling",274,"Sap002_SpikeyCushion",0.01,0.04,0.002,5e-04,4.940526933,0.494052693
