"","Sample","Plot_Number","Plant","Plate","Well","Plot","Treatment","Zone","Percent_Moisture","Lat","Lon","Basel_Diameter_estimated","Half_Tree_Cover","Tree_Height","Trunk_Circumference"
"plate1-H01-ITS","C10C",10,"C",1,"H01","Con010","Control","Plateau",0.762559809,-41.96778601,-71.45405704,NA,NA,NA,NA
"plate1-H02-ITS","C13B",13,"B",1,"H02","Con013","Control","Plateau",6.218634082,-41.97067802,-71.45866298,NA,NA,NA,NA
"plate1-H03-ITS","S6J",6,"J",1,"H03","Sap006","Sapling","Plateau",6.803097345,-41.96683601,-71.46212697,4,58,60,12.56637061
"plate1-H04-ITS","S6E",6,"E",1,"H04","Sap006","Sapling","Plateau",6.803097345,-41.96683601,-71.46212697,4,58,60,12.56637061
"plate1-H05-ITS","C2B",2,"B",1,"H05","Con002","Control","Plateau",3.988413547,-41.96976297,-71.46476702,NA,NA,NA,NA
"plate1-H06-ITS","C4B",4,"B",1,"H06","Con004","Control","Plateau",NA,-41.96762499,-71.46443401,NA,NA,NA,NA
"plate1-PCR-neg-ITS-Tonia","",NA,"",NA,"","","","",NA,NA,NA,NA,NA,NA,NA
"plate2-A01-ITS","C14B",14,"B",2,"A01","Con014","Control","Plateau",4.68579235,-41.97177202,-71.46035504,NA,NA,NA,NA
"plate2-A02-ITS","C12A",12,"A",2,"A02","Con012","Control","Plateau",1.627096131,-41.97026202,-71.45733596,NA,NA,NA,NA
"plate2-A04-ITS","C13J",13,"J",2,"A04","Con013","Control","Plateau",6.218634082,-41.97067802,-71.45866298,NA,NA,NA,NA
"plate2-A05-ITS","C2B",2,"B",2,"A05","Con002","Control","Plateau",3.988413547,-41.96976297,-71.46476702,NA,NA,NA,NA
"plate2-A06-ITS","C7H",7,"H",2,"A06","Con007","Control","Plateau",3.613807983,-41.96816102,-71.46105099,NA,NA,NA,NA
"plate2-A07-ITS","S7E",7,"E",2,"A07","Sap007","Sapling","Plateau",7.205574913,-41.96786799,-71.45901402,3.9,45,75,12.25221135
