"Treatment","Sample","plotNumber","Zone","underscore","Morphospecies","uniqueID","PlantSpecies","MYC","PlantFUNCT.group"
"Control","Con013",13,"Plateau","_","GreenShrub","Con013_GreenShrub","Gaultheria pumila","ERM","evergreen shrub"
"Control","Con013",13,"Plateau","_","OtherGreenShrub","Con013_OtherGreenShrub","Baccharis magellanica","AM"," shrub"
"Control","Con013",13,"Plateau","_","RedAloe","Con013_RedAloe","Poa sp","AM","grass"
"Control","Con013",13,"Plateau","_","SmallShrub","Con013_SmallShrub","Empetrum rubrum","ERM","evergreen shrub"
"Control","Con013",13,"Plateau","_","SpikeyGreen","Con013_SpikeyGreen","Perezia piliffera /fonkii?","AM","flowering plant "
"Control","Con013",13,"Plateau","_","SpikeyRose","Con013_SpikeyRose","Nassauvia revoluta","AM","flowering plant "
"Control","Con013",13,"Plateau","_","TallRed","Con013_TallRed","Euphrasia meiantha","NM","flowering plant"
"Control","Con014",14,"Plateau","_","Grass","Con014_Grass","Festuca sp","AM","grass"
"Control","Con014",14,"Plateau","_","GreenShrub","Con014_GreenShrub","Gaultheria pumila","ERM","evergreen shrub"
"Control","Con014",14,"Plateau","_","OtherGreenShrub","Con014_OtherGreenShrub","Baccharis magellanica","AM"," shrub"
"Control","Con014",14,"Plateau","_","OtherGreenShrub","Con014_OtherGreenShrub","Baccharis magellanica","AM"," shrub"
"Control","Con014",14,"Plateau","_","Rosette","Con014_Rosette","Viola sp","AM","flowering plant"
"Control","Con014",14,"Plateau","_","YellowFlower","Con014_YellowFlower","Senecio agyreus","AM","flowering plant"
"Control","Con015",15,"Plateau","_","Dandelion","Con015_Dandelion","Hypochaeris sp","AM_facAM","flowering plant "
"Control","Con015",15,"Plateau","_","Grass","Con015_Grass","Festuca sp","AM","grass"
"Control","Con015",15,"Plateau","_","LeafyCushion","Con015_LeafyCushion","Azorella sp","AM","flowering plant"
"Control","Con015",15,"Plateau","_","OtherGreenShrub","Con015_OtherGreenShrub","Baccharis magellanica","AM"," shrub"
"Control","Con015",15,"Plateau","_","RedAloe","Con015_RedAloe","Poa sp","AM","grass"
"Control","Con015",15,"Plateau","_","Rosette","Con015_Rosette","Viola sp","AM","flowering plant"
"Control","Con015",15,"Plateau","_","SpikeyGreen","Con015_SpikeyGreen","Perezia piliffera /fonkii?","AM","flowering plant "
"Control","Con015",15,"Plateau","_","SpikeyRose","Con015_SpikeyRose","Nassauvia revoluta","AM","flowering plant "
"Control","ConXX",NA,"Plateau","_","LeafyCushion","ConXX_LeafyCushion","Azorella sp","AM","flowering plant"
"Control","ConXX",NA,"Plateau","_","SpikeyGreen","ConXX_SpikeyGreen","Perezia piliffera /fonkii?","AM","flowering plant "
"Pine","Pine001",1,"Plateau","_","Clover","Pine001_Clover","Oxalis adenophylla","AM","flowering plant"
"Pine","Pine001",1,"Plateau","_","Grass","Pine001_Grass","Festuca sp","AM","grass"
"Pine","Pine001",1,"Plateau","_","GreenShrub","Pine001_GreenShrub","Gaultheria pumila","ERM","evergreen shrub"
"Pine","Pine001",1,"Plateau","_","LeafyCushion","Pine001_LeafyCushion","Azorella sp","AM","flowering plant"
"Pine","Pine001",1,"Plateau","_","Rosette","Pine001_Rosette","Viola sp","AM","flowering plant"
"Pine","Pine001",1,"Plateau","_","SpikeyGreen","Pine001_SpikeyGreen","Perezia piliffera /fonkii?","AM","flowering plant "
"Pine","Pine002",2,"Plateau","_","Arugula","Pine002_Arugula","Hypochaeris sp","AM_facAM","flowering plant "
"Pine","Pine002",2,"Plateau","_","Clover","Pine002_Clover","Oxalis adenophylla","AM","flowering plant"
"Pine","Pine002",2,"Plateau","_","Dandelion","Pine002_Dandelion","Hypochaeris sp","AM_facAM","flowering plant "
"Pine","Pine002",2,"Plateau","_","Grass","Pine002_Grass","Festuca sp","AM","grass"
"Pine","Pine002",2,"Plateau","_","GreenShrub","Pine002_GreenShrub","Gaultheria pumila","ERM","evergreen shrub"
"Pine","Pine002",2,"Plateau","_","RedAloe","Pine002_RedAloe","Poa sp","AM","grass"
"Pine","Pine002",2,"Plateau","_","Rosette","Pine002_Rosette","Viola sp","AM","flowering plant"
