,Sample,Plot_Number,Plant,Plate,Well,Plot,C,pH,Pdisp,NH4,NO3,Morphospecies,Treatment,Zone,Percent_Moisture,Lat,Lon,Basel_Diameter_estimated,Half_Tree_Cover,Tree_Height,Trunk_Circumference,PlantSpecies,MYC,PlantFUNCT.group,PlantSpecies.1,MYC.1,PlantFUNCT.group.1,PlantFUNCT.group.2,uniqueID,LeafDryMass,LeafH20Weight,LWC,LDMC,MLA,SLA
34,C6N,6,N,1,D07,Con006,1.48,5.6,5.3,21,14.2,Arugula,Control,Plateau,3.833504625,-41.96762701,-71.45878603,NA,NA,NA,NA,Hypochaeris sp,AM_facAM,flowering plant ,Hypochaeris sp,AM_facAM,flowering plant ,flowering plant ,Con006_Arugula,NA,NA,NA,NA,NA,NA
35,C6Q,6,Q,1,E06,Con006,1.48,5.6,5.3,21,14.2,FatGreen,Control,Plateau,3.833504625,-41.96762701,-71.45878603,NA,NA,NA,NA,Perezia bellidifolia,AM,flowering plant,Perezia bellidifolia,AM,flowering plant,flowering plant,Con006_FatGreen,0.46,0.65,0.108333333,0.076666667,493.4047148,1.072618945
36,C6P,6,P,2,C06,Con006,1.48,5.6,5.3,21,14.2,FuzzyLeaf,Control,Plateau,3.833504625,-41.96762701,-71.45878603,NA,NA,NA,NA,Erigeron sp,AM,flowering plant,Erigeron sp,AM,flowering plant,flowering plant,Con006_FuzzyLeaf,NA,NA,NA,NA,NA,NA
37,C6B,6,B,1,A06,Con006,1.48,5.6,5.3,21,14.2,Grass,Control,Plateau,3.833504625,-41.96762701,-71.45878603,NA,NA,NA,NA,Festuca sp,AM,grass,Festuca sp,AM,grass,grass,Con006_Grass,NA,NA,NA,NA,NA,NA
38,C6B.1,6,B.1,2,D12,Con006,1.48,5.6,5.3,21,14.2,Grass,Control,Plateau,3.833504625,-41.96762701,-71.45878603,NA,NA,NA,NA,Festuca sp,AM,grass,Festuca sp,AM,grass,grass,Con006_Grass,NA,NA,NA,NA,NA,NA
39,C6A,6,A,3,B12,Con006,1.48,5.6,5.3,21,14.2,GreenShrub,Control,Plateau,3.833504625,-41.96762701,-71.45878603,NA,NA,NA,NA,Gaultheria pumila,ERM,evergreen shrub,Gaultheria pumila,ERM,evergreen shrub,evergreen shrub,Con006_GreenShrub,NA,NA,NA,NA,12.41326608,NA
40,C6J,6,J,2,H04,Con006,1.48,5.6,5.3,21,14.2,RedAloe,Control,Plateau,3.833504625,-41.96762701,-71.45878603,NA,NA,NA,NA,Poa sp,AM,grass,Poa sp,AM,grass,grass,Con006_RedAloe,NA,NA,NA,NA,NA,NA
41,C6C,6,C,1,B02,Con006,1.48,5.6,5.3,21,14.2,Rosette,Control,Plateau,3.833504625,-41.96762701,-71.45878603,NA,NA,NA,NA,Viola sp,AM,flowering plant,Viola sp,AM,flowering plant,flowering plant,Con006_Rosette,NA,NA,NA,NA,NA,NA
42,C6T,6,T,1,G05,Con006,1.48,5.6,5.3,21,14.2,SpikeyRose,Control,Plateau,3.833504625,-41.96762701,-71.45878603,NA,NA,NA,NA,Nassauvia revoluta,AM,flowering plant ,Nassauvia revoluta,AM,flowering plant ,flowering plant ,Con006_SpikeyRose,0.03,0.02,0.002,0.003,26.36998012,0.878999337
43,C6O,6,O,1,D09,Con006,1.48,5.6,5.3,21,14.2,TallRed,Control,Plateau,3.833504625,-41.96762701,-71.45878603,NA,NA,NA,NA,Euphrasia meiantha,NM,flowering plant,Euphrasia meiantha,NM,flowering plant,flowering plant,Con006_TallRed,0.03,NA,NA,0.001875,14.49564957,0.483188319
